,gid,cctv,light,log_pa,ep,fp,yp,nb
0,дь_58ab30ba,-0.5,-0.5,2.098017927,-0.316027088,-0.33122807,-0.323076923,0.09548225679308976
1,дь_58bb30ab,-0.5,-0.5,2.050012731,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
2,дь_59aa30aa,-0.5,-0.5,2.050012731,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
3,дь_59aa30ab,-0.5,-0.5,2.050012731,-0.343115124,-0.341052632,-0.323076923,0.7524504306244418
4,дь_59ab30aa,0.0,0.0,1.930071085,-0.343115124,-0.341052632,-0.323076923,1.1559704510713553
5,дь_59ab30ab,-0.5,-0.5,1.930071085,-0.343115124,-0.341052632,-0.323076923,0.7524504306244418
6,дь_59ba30aa,-0.5,-0.5,1.846721027,-0.343115124,-0.341052632,-0.323076923,-2.205124015364859
7,дь_59ba30bb,-0.5,-0.5,1.5847353,-0.180586907,-0.303157895,-0.323076923,1.1559704510713553
8,дь_59ba31ab,-0.5,-0.5,1.455120552,-0.343115124,-0.332631579,-0.323076923,1.6805105247454442
9,дь_59bb29bb,-0.5,-0.5,1.878090059,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
10,дь_59bb30ba,-0.5,-0.5,1.614425454,-0.30248307,-0.315789474,-0.276923077,2.1768845859352064
11,дь_59bb30bb,-0.5,-0.5,1.426476151,-0.311512415,-0.33122807,-0.323076923,0.09548225679308976
12,дь_59bb31aa,-0.5,-0.5,1.374474784,-0.343115124,-0.329824561,-0.323076923,0.7524504306244418
13,дь_59bb31ab,-0.5,-0.5,1.393269975,-0.343115124,-0.329824561,-0.323076923,1.6805105247454442
14,дь_59bb31ba,-0.5,-0.5,1.393269975,-0.343115124,-0.341052632,-0.323076923,1.449334001130827
15,дь_59bb32bb,-0.5,-0.5,1.087888325,-0.343115124,-0.341052632,-0.323076923,1.1559704510713553
16,дь_60aa29ba,-0.5,-0.5,1.949475215,-0.343115124,-0.341052632,-0.323076923,1.449334001130827
17,дь_60aa29bb,-0.5,-0.5,1.846721027,-0.306997743,-0.33122807,-0.323076923,1.1559704510713553
18,дь_60aa30aa,-0.5,-0.5,1.846721027,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
19,дь_60aa30ab,-0.5,-0.5,1.614425454,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
20,дь_60aa31bb,-0.5,-0.5,1.310492648,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
21,дь_60aa32ba,-0.5,-0.5,1.022810575,-0.343115124,-0.341052632,-0.323076923,-2.205124015364859
22,дь_60aa32bb,0.0,0.0,1.087888325,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
23,дь_60ab29ba,-0.5,-0.5,1.717574571,-0.311512415,-0.322807018,-0.323076923,2.303161982697385
24,дь_60ab29bb,-0.5,-0.5,1.784063263,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
25,дь_60ab32bb,-0.5,-0.5,1.0595249,-0.343115124,-0.341052632,-0.323076923,2.0346159972975615
26,дь_60ba29ab,-0.5,-0.5,1.717574571,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
27,дь_60ba32ba,-0.5,-0.5,1.716317274,-0.248306998,-0.263859649,-0.323076923,1.1559704510713553
28,дь_60ba32bb,-0.5,-0.5,0.762673243,-0.343115124,-0.328421053,-0.323076923,0.7524504306244418
29,дь_60bb29aa,0.0,0.0,1.662978679,-0.343115124,-0.341052632,-0.323076923,0.7524504306244418
30,дь_60bb29ab,0.0,0.0,1.558775998,-0.221218962,-0.248421053,-0.253846154,1.6805105247454442
31,дь_60bb32ab,-0.5,-0.5,1.716317274,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
32,дь_60bb32ba,-0.5,-0.5,1.716317274,0.076749436,0.014035088,0.069230769,2.1768845859352064
33,дь_60bb32bb,-0.5,-0.5,2.281872051,-0.288939052,-0.18245614,-0.061538462,-2.205124015364859
34,дь_61aa29aa,-0.5,-0.5,1.662978679,-0.343115124,-0.341052632,-0.323076923,1.1559704510713553
35,дь_61aa29ab,-0.5,-0.5,1.558775998,-0.343115124,-0.311578947,-0.246153846,1.449334001130827
36,дь_61aa30bb,-0.5,-0.5,1.463255402,-0.343115124,-0.341052632,-0.323076923,1.1559704510713553
37,дь_61aa32ab,-0.5,-0.5,0.408792898,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
38,дь_61aa32ba,0.0,0.0,0.408792898,-0.0496614,-0.028070175,-0.015384615,1.1559704510713553
39,дь_61aa32bb,-0.5,-0.5,0.408792898,-0.216704289,-0.188070175,-0.146153846,-2.205124015364859
40,дь_61ab32ab,0.0,0.0,0.408792898,-0.180586907,0.067368421,0.338461538,-2.205124015364859
41,дь_61ab32ba,2.5,2.5,0.408792898,-0.279909707,-0.247017544,-0.207692308,-2.205124015364859
42,дь_61ab32bb,0.0,0.0,0.408792898,-0.139954853,-0.105263158,0.023076923,-2.205124015364859
43,дь_61ba29aa,-0.5,-0.5,1.428635202,-0.343115124,-0.341052632,-0.323076923,0.7524504306244418
44,дь_61ba32ab,0.5,0.5,0.408792898,-0.30248307,-0.220350877,-0.123076923,-2.205124015364859
45,дь_61ba32ba,4.0,4.0,0.629141851,-0.216704289,-0.179649123,-0.038461538,-2.205124015364859
46,дь_61ba32bb,0.0,0.0,0.629141851,-0.230248307,-0.186666667,-0.1,-2.205124015364859
