소재지도로명주소,카메라대수,위도,경도,데이터기준일자,소재지지번주소,,,,,,,,구미동,133,구미동,133
경기도 성남시 분당구 서현로429번길 30,3,37.3767595,127.1449705,2018.4.1,경기도 성남시 분당구 분당동 108-1번지 맞은편,,,,,,,,분당동,140,분당동,140
경기도 성남시 분당구 예원로 7,2,37.371351,127.1337441,2018.4.1,경기도 성남시 분당구 분당동 45번지(동아빌라와 옴니빌라 사이),,,,,,,,,,백현동,127
,4,37.386671,127.115881,2018.4.1,경기도 성남시 분당구 백현동 606번지 물방울어린이공원 내부,,,,,,,,백현동,127,야탑동,184
,5,37.408131,127.142901,2018.4.1,경기도 성남시 분당구 야탑3동 197-2(버스정류장),,,,,,,,야탑동,184,금곡동,52
,4,37.405361,127.155231,2018.4.1,경기도 성남시 분당구 야탑동 159-8,,,,,,,,,,궁내동,24
"경기도 성남시 분당구 미금로 246, 후문(금곡동, 청솔마을주공6단지)",2,37.3541183,127.1111561,2018.4.1,경기도 성남시 분당구 금곡동 126번지 분당정보고등학교 후문,,,,,,,,금곡동,52,정자동,153
"경기도 성남시 분당구 금곡로 243, 청솔초등학교  (금곡동)",5,37.353881,127.113201,2018.4.1,경기도 성남시 분당구 금곡동 135번지 청솔초등학교 후문 보행자통로,,,,,,,,,,동원동,11
,2,37.3627979,127.1000821,2018.4.1,경기도 성남시 분당구 금곡동 104번지 낙생농협 앞,,,,,,,,,,판교동,103
"경기도 성남시 분당구 금곡로 243, 청솔초등학교  정문(금곡동)",3,37.3540659,127.1141706,2018.4.1,경기도 성남시 분당구 금곡동 131번지 청솔초등학교 정문,,,,,,,,,,태평동,219
,4,37.3515843,127.1066271,2018.4.1,경기도 성남시 분당구 금곡동 175번지 야생화어린이공원,,,,,,,,,,상대원,245
"경기도 성남시 분당구 궁내로22번길 32, 궁백교회  뒤(궁내동)",3,37.3713794,127.1010456,2018.4.1,경기도 성남시 분당구 궁내동 285-1번지 궁백교회 뒤,,,,,,,,궁내동,24,삼평동,136
,1,37.3633033,127.0967848,2018.4.1,경기도 성남시 분당구 금곡동 66-5,,,,,,,,,,율동,14
"경기도 성남시 분당구 미금로 215, (금곡동, 청솔마을대원8단지)",1,37.351218,127.1130175,2018.4.1,경기도 성남시 분당구 금곡동 141번지(즐거운유치원),,,,,,,,,,이매동,101
"경기도 성남시 분당구 쇳골로 35-1, 금곡동어린이놀이터  (금곡동)",4,37.3627217,127.0973343,2018.4.1,경기도 성남시 분당구 금곡동 46-6 금곡동어린이놀이터,,,,,,,,,,운중동,100
경기도 성남시 분당구 경부고속도로,2,37.363711,127.103539,2018.4.1,경기도 성남시 분당구 궁내동 184-12 경부고속도로 횡단 지하통로(정자로 방면),,,,,,,,정자동,153,수내동,108
,2,37.354204,127.109162,2018.4.1,경기도 성남시 분당구 금곡동 127-1 금곡지하보도(주공 607동앞),,,,,,,,,,오야동,21
,2,37.3701467,127.1007322,2018.4.1,경기도 성남시 분당구 궁내동 247번지 앞,,,,,,,,,,금광동,181
"경기도 성남시 분당구 궁내로40번길 11, 궁내동어린이놀이터  (궁내동)",3,37.3705898,127.097633,2018.4.1,경기도 성남시 분당구 궁내동 353번지 궁내동어린이놀이터,,,,,,,,,,하대원,83
,4,37.370331,127.101421,2018.4.1,경기도 성남시 분당구 궁내동 245번지,,,,,,,,,,은행동,179
,1,37.353661,127.113231,2018.4.1,경기도 성남시 분당구 금곡동 135번지 앞구미어린이공원 내부,,,,,,,,,,수진동,212
,4,37.370381,127.094011,2018.4.1,경기도 성남시 분당구 금곡동 365-10번지(궁내동 버스정류장),,,,,,,,,,단대동,79
"경기도 성남시 분당구 미금일로 21, (구미동, 하얀마을주공5단지)",2,37.344691,127.118431,2018.4.1,경기도 성남시 분당구 구미동 108번지 하얀마을5단지 하얀어린이공원 앞 보행자통로,,,,,,,,,,상적동,22
,3,37.3445618,127.1141408,2018.4.1,경기도 성남시 분당구 구미동 114번지 오리어린이공원(분당64호),,,,,,,,,,금토동,21
,5,37.3374543,127.1172977,2018.4.1,경기도 성남시 분당구 구미동 206번지 구미어린이공원(분당67호),,,,,,,,,,시흥동,28
,4,37.3412925,127.1119359,2018.4.1,경기도 성남시 분당구 구미동 193-1번지 오리공원,,,,,,,,,,사송동,9
,4,37.3431024,127.1246201,2018.4.1,경기도 성남시 분당구 구미동 281번지 골안어린이공원,,,,,,,,,,복정동,107
,4,37.3397938,127.1227763,2018.4.1,경기도 성남시 분당구 구미동 230번지 무지개어린이공원,,,,,,,,,,고등동,29
,4,37.3404815,127.1247868,2018.4.1,경기도 성남시 분당구 구미동 239번지 넘말어린이공원,,,,,,,,,,신촌동,23
,4,37.3402035,127.1260824,2018.4.1,경기도 성남시 분당구 구미동 252번지 큰골어린이공원,,,,,,,,,,심곡동,9
"경기도 성남시 분당구 무지개로 129, 불곡초등학교  주변(구미동)",3,37.3408553,127.1191788,2018.4.1,경기도 성남시 분당구 구미동 241번지 불곡초등학교 주변,,,,,,,,,,산성동,65
"경기도 성남시 분당구 구미로185번길 30, 대광사정문앞코너부분  (구미동)",3,37.346413,127.1272955,2018.4.1,경기도 성남시 분당구 구미동 295 대광사 정문 앞 코너부분,,,,,,,,,,신흥동,151
"경기도 성남시 분당구 탄천상로 89, 노블빌리지 105동  (구미동)",3,37.3395099,127.1112736,2018.4.1,경기도 성남시 분당구 구미동 187-9 노블빌리지 105동,,,,,,,,,,삼평동,106
,2,37.3346918,127.1153297,2018.4.1,경기도 성남시 분당구 구미동 209번지 진고개공원,,,,,,,,,,양지동,190
,1,37.3397455,127.1094274,2018.4.1,경기도 성남시 분당구 구미동 196번지(오리역 2번출구 부근 광장),,,,,,,,,,대장동,12
"경기도 성남시 분당구 구미로130번길 20, 성모유치원  (구미동)",4,37.3401373,127.1243484,2018.4.1,경기도 성남시 분당구 구미동 238번지(성모유치원),,,,,,,,,,도촌동,46
,1,37.345011,127.117941,2018.4.1,경기도 성남시 분당구 구미동 108번지 하얀어린이공원 내부,,,,,,,,,,,
"경기도 성남시 분당구 금곡로23번길 15-5, 수평어린이공원내부  (구미동)",1,37.344651,127.111001,2018.4.1,경기도 성남시 분당구 구미동 138번지 수평어린이공원 내부,,,,,,,,,,,
,2,37.4073396,127.1270171,2018.4.1,경기도 성남시 분당구 야탑2동 529번지 무잡모퉁이어린이공원(분당13호) 하탑초등학교 주변,,,,,,,,,,,
,4,37.3488017,127.118613,2018.4.1,경기도 성남시 분당구 구미1동 87번지 샘터어린이공원,,,,,,,,,,,
"경기도 성남시 분당구 미금일로 136, 508동 601호 동 사이(구미동, 까치마을건영5단지)",3,37.349365,127.111763,2018.4.1,경기도 성남시 분당구 구미1동 까치마을 건영빌라 508동 601동 사이 보행자도로,,,,,,,,,,,
"경기도 성남시 분당구 동원북로 26, 동원 1동  어린이놀이터(동원동)",1,37.3461579,127.098721,2018.4.1,경기도 성남시 분당구 동원동 110-4 동원1동어린이놀이터,,,,,,,,동원동,11,,
"경기도 성남시 분당구 동막로245번길 97, (동원동)",4,37.3590146,127.0798242,2018.4.1,경기도 성남시 분당구 동원동 222번지,,,,,,,,,,,
"경기도 성남시 분당구 미금일로80번길 5, (구미동)",1,37.3460774,127.1011217,2018.4.1,경기도 성남시 분당구 구미1동 58-3번지,,,,,,,,,,,
"경기도 성남시 분당구 미금로 151, 미금초등학교  (구미동)",5,37.3470948,127.1153504,2018.4.1,경기도 성남시 분당구 구미1동 68번지(미금초등학교),,,,,,,,,,,
,3,37.3766914,127.1246814,2018.4.1,경기도 성남시 분당구 구미1동 93번지,,,,,,,,,,,
,4,37.3489828,127.1112807,2018.4.1,경기도 성남시 분당구 구미1동 32번지 뒷구미어린이공원(분당59호),,,,,,,,,,,
"경기도 성남시 분당구 돌마로 138, 보도구미 지하층 119호 구미 옆(구미동)",2,37.3449596,127.1111542,2018.4.1,경기도 성남시 분당구 구미1동 71 구미지하보도(구미119 옆),,,,,,,,,,,
경기도 성남시 분당구 미금로 151,2,37.3481256,127.1152983,2018.4.1,경기도 성남시 분당구 구미1동 67번지 미금초등학교 후문(벌말공원),,,,,,,,,,,
"경기도 성남시 분당구 미금일로90번길 2, 시카센터 24호 (구미동)",2,37.3461172,127.1100702,2018.4.1,경기도 성남시 분당구 구미1동 54-6번지 24시카센타 앞 사거리,,,,,,,,,,,
"경기도 성남시 분당구 동원북로 33, (동원동)",4,37.345891,127.110351,2018.4.1,경기도 성남시 분당구 구미1동 96-5번지,,,,,,,,,,,
,3,37.3510827,127.118161,2018.4.1,경기도 성남시 분당구 구미1동 73번지 까치마을어린이공원,,,,,,,,,,,
,1,37.3912181,127.0896065,2018.4.1,경기도 성남시 분당구 판교동 615-7번지 F6-1블럭 주택지역 내 24시간 편의점 옆,,,,,,,,판교동,103,,
,1,37.3913697,127.0904382,2018.4.1,경기도 성남시 분당구 판교동 614-11번지 F6-1블럭 주택지역 내 판교 도서관 맞은편,,,,,,,,,,,
,1,37.3912518,127.0910088,2018.4.1,경기도 성남시 분당구 판교동 612번지 F7-1블럭 주택지역 내 판교 도서관 맞은편,,,,,,,,,,,
,1,37.3905322,127.0893203,2018.4.1,경기도 성남시 분당구 판교동 618-11번지 F6-1블럭 주택지역 내 음식점(리강) 옆,,,,,,,,,,,
"경기도 성남시 수정구 제일로188번길 15-11, (태평동)",1,37.4440148,127.1319293,2018.4.1,경기도 성남시 수정구 태평3동 3745-17,,,,,,,,태평동,219,,
