,gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등,security,security_encoded
0,ㅼㅤㄱㅝㅀ702379,127.163692,37.44024447,532.0,290.0,242.0,35.0,19.0,16.0,105.0,59.0,46.0,76.0,2.0,68.0,1987.92,0,17,17,1
2,ㅼㅤㄱㅝㅀ698388,127.1591335,37.44834375,432.0,225.0,207.0,24.0,9.0,15.0,86.0,50.0,36.0,43.0,8.0,24.0,1994.88,0,9,9,1
4,ㅼㅤㄱㅝㅀ668384,127.1252351,37.44463565,209.0,91.0,118.0,7.0,0.0,0.0,64.0,34.0,30.0,17.0,3.0,14.0,1989.24,1,6,7,1
16,ㅼㅤㄱㅝㅀ673383,127.1308919,37.44375208,326.0,167.0,159.0,32.0,15.0,17.0,76.0,48.0,28.0,28.0,6.0,18.0,1994.11,0,4,4,1
28,ㅼㅤㄱㅝㅀ608326,127.0577136,37.39212268,96.0,50.0,46.0,6.0,0.0,0.0,27.0,11.0,16.0,9.0,4.0,1.0,2013.0,0,8,8,1
32,ㅼㅤㄱㅝㅀ706395,127.16815,37.45467901,116.0,60.0,56.0,10.0,0.0,7.0,26.0,15.0,11.0,8.0,7.0,1.0,1994.5,0,0,0,0
37,ㅼㅤㄱㅝㅀ702380,127.163688,37.44114583,248.0,128.0,120.0,21.0,10.0,11.0,44.0,26.0,18.0,24.0,5.0,12.0,1990.54,1,4,5,1
40,ㅼㅤㄱㅝㅀ677372,127.135462,37.43385118,167.0,77.0,90.0,14.0,0.0,9.0,45.0,24.0,21.0,11.0,1.0,1.0,1996.09,0,0,0,0
41,ㅼㅤㄱㅝㅀ699372,127.1603293,37.43392525,345.0,159.0,186.0,17.0,0.0,12.0,73.0,40.0,33.0,39.0,5.0,22.0,1991.11,2,13,15,1
42,ㅼㅤㄱㅝㅀ697385,127.1580153,37.44563641,267.0,125.0,142.0,9.0,0.0,0.0,77.0,42.0,35.0,42.0,1.0,25.0,1991.88,1,10,11,1
45,ㅼㅤㄱㅝㅀ676325,127.1345375,37.39148369,127.0,60.0,67.0,6.0,0.0,0.0,27.0,14.0,13.0,7.0,4.0,1.0,2002.14,1,11,12,1
59,ㅼㅤㄱㅝㅀ669383,127.12637,37.44373787,370.0,172.0,198.0,15.0,6.0,9.0,92.0,54.0,38.0,70.0,1.0,63.0,1990.2,0,9,9,1
61,ㅼㅤㄱㅝㅀ700379,127.1614312,37.44023802,420.0,195.0,225.0,17.0,7.0,10.0,87.0,49.0,38.0,44.0,5.0,32.0,1991.95,1,7,8,1
63,ㅼㅤㄱㅝㅀ686390,127.1455584,37.45010656,66.0,34.0,32.0,0.0,0.0,0.0,13.0,8.0,0.0,5.0,2.0,2.0,1993.4,2,5,7,1
