,gid,pa,ep,fp,yp,nb,year,cctv,light
5,木夭丑友什58ab30ba,8.15,6.0,7.0,0.0,2.0,0,0,0
17,木夭丑友什58bb30ab,7.768,0.0,0.0,0.0,2.0,0,0,0
26,木夭丑友什59aa30aa,7.768,0.0,0.0,0.0,2.0,0,0,0
27,木夭丑友什59aa30ab,7.768,0.0,0.0,0.0,3.0,0,0,0
42,木夭丑友什59ab30aa,6.89,0.0,0.0,0.0,3.0,0,1,1
43,木夭丑友什59ab30ab,6.89,0.0,0.0,0.0,2.0,0,0,0
66,木夭丑友什59ba30aa,6.339,0.0,0.0,0.0,14.0,1,0,0
69,木夭丑友什59ba30bb,4.878,36.0,27.0,0.0,8.0,1,0,0
71,木夭丑友什59ba31ab,4.285,0.0,6.0,0.0,5.0,0,0,0
93,木夭丑友什59bb29bb,6.541,0.0,0.0,0.0,4.0,1,0,0
96,木夭丑友什59bb30ba,5.025,9.0,18.0,6.0,11.0,0,0,0
97,木夭丑友什59bb30bb,4.164,7.0,7.0,0.0,4.0,1,0,0
98,木夭丑友什59bb31aa,3.953,0.0,8.0,0.0,14.0,1,0,0
99,木夭丑友什59bb31ab,4.028,0.0,8.0,0.0,14.0,0,0,0
100,木夭丑友什59bb31ba,4.028,0.0,0.0,0.0,4.0,0,0,0
105,木夭丑友什59bb32bb,2.968,0.0,0.0,0.0,4.0,0,0,0
122,木夭丑友什60aa29ba,7.025,0.0,0.0,0.0,4.0,0,0,0
123,木夭丑友什60aa29bb,6.339,8.0,7.0,0.0,25.0,1,0,0
124,木夭丑友什60aa30aa,6.339,0.0,0.0,0.0,8.0,1,0,0
125,木夭丑友什60aa30ab,5.025,0.0,0.0,0.0,2.0,0,0,0
131,木夭丑友什60aa31bb,3.708,0.0,0.0,0.0,1.0,0,0,0
134,木夭丑友什60aa32ba,2.781,0.0,0.0,0.0,1.0,1,0,0
135,木夭丑友什60aa32bb,2.968,0.0,0.0,0.0,1.0,0,1,1
154,木夭丑友什60ab29ba,5.571,7.0,13.0,0.0,11.0,1,0,0
155,木夭丑友什60ab29bb,5.954,0.0,0.0,0.0,4.0,1,0,0
167,木夭丑友什60ab32bb,2.885,0.0,0.0,0.0,14.0,0,0,0
185,木夭丑友什60ba29ab,5.571,0.0,0.0,0.0,1.0,0,0,0
198,木夭丑友什60ba32ba,5.564,21.0,55.0,0.0,14.0,1,0,0
199,木夭丑友什60ba32bb,2.144,0.0,9.0,0.0,3.0,0,0,0
216,木夭丑友什60bb29aa,5.275,0.0,0.0,0.0,4.0,0,1,1
217,木夭丑友什60bb29ab,4.753,27.0,66.0,9.0,20.0,1,1,1
229,木夭丑友什60bb32ab,5.564,0.0,0.0,0.0,3.0,1,0,0
230,木夭丑友什60bb32ba,5.564,93.0,253.0,51.0,54.0,1,0,0
231,木夭丑友什60bb32bb,9.795,12.0,113.0,34.0,16.0,1,0,0
248,木夭丑友什61aa29aa,5.275,0.0,0.0,0.0,3.0,0,0,0
249,木夭丑友什61aa29ab,4.753,0.0,21.0,10.0,7.0,1,0,0
255,木夭丑友什61aa30bb,4.32,0.0,0.0,0.0,3.0,0,0,0
261,木夭丑友什61aa32ab,1.505,0.0,0.0,0.0,2.0,0,0,0
262,木夭丑友什61aa32ba,1.505,65.0,223.0,40.0,41.0,1,1,1
263,木夭丑友什61aa32bb,1.505,28.0,109.0,23.0,22.0,1,0,0
293,木夭丑友什61ab32ab,1.505,36.0,291.0,86.0,1.0,1,1,1
294,木夭丑友什61ab32ba,1.505,14.0,67.0,15.0,43.0,1,1,1
295,木夭丑友什61ab32bb,1.505,45.0,168.0,45.0,9.0,1,1,1
313,木夭丑友什61ba29aa,4.173,0.0,0.0,0.0,3.0,0,0,0
326,木夭丑友什61ba32ab,1.505,9.0,86.0,26.0,35.0,1,1,1
327,木夭丑友什61ba32ba,1.876,28.0,115.0,37.0,53.0,1,1,1
328,木夭丑友什61ba32bb,1.876,25.0,110.0,29.0,5.0,1,1,1
342,木夭丑友什61ba36ab,5.342,10.0,17.0,0.0,10.0,0,0,0
357,木夭丑友什61bb31bb,1.394,21.0,79.0,14.0,1.0,1,0,0
359,木夭丑友什61bb32ab,7.653,30.0,193.0,85.0,28.0,1,1,1
360,木夭丑友什61bb32ba,1.876,71.0,309.0,106.0,62.0,1,1,1
361,木夭丑友什61bb32bb,1.876,37.0,99.0,26.0,5.0,1,0,0
375,木夭丑友什61bb36ab,4.44,49.0,76.0,0.0,31.0,1,0,0
376,木夭丑友什61bb36ba,4.44,27.0,63.0,0.0,32.0,1,0,0
390,木夭丑友什62aa31ba,1.394,37.0,100.0,17.0,2.0,1,1,1
391,木夭丑友什62aa31bb,1.394,343.0,982.0,225.0,14.0,1,0,0
392,木夭丑友什62aa32aa,1.038,227.0,898.0,277.0,8.0,1,1,1
393,木夭丑友什62aa32ab,0.525,187.0,739.0,185.0,20.0,1,1,1
394,木夭丑友什62aa32ba,1.876,117.0,527.0,169.0,15.0,1,1,1
395,木夭丑友什62aa32bb,18.176,75.0,520.0,186.0,19.0,1,1,1
399,木夭丑友什62aa33bb,3.182,0.0,0.0,0.0,2.0,0,0,0
401,木夭丑友什62aa34ab,5.378,0.0,0.0,0.0,11.0,1,0,0
409,木夭丑友什62aa36ab,4.44,14.0,35.0,0.0,17.0,1,1,1
410,木夭丑友什62aa36ba,4.44,22.0,43.0,0.0,23.0,1,1,1
411,木夭丑友什62aa36bb,4.133,6.0,12.0,0.0,23.0,1,1,1
412,木夭丑友什62aa37aa,4.248,17.0,32.0,7.0,12.0,1,0,0
418,木夭丑友什62ab28ab,4.628,6.0,7.0,0.0,2.0,0,0,0
426,木夭丑友什62ab30ab,3.082,0.0,10.0,0.0,8.0,1,0,0
427,木夭丑友什62ab30ba,3.055,7.0,12.0,0.0,9.0,1,0,0
431,木夭丑友什62ab31ba,1.394,94.0,229.0,47.0,16.0,1,0,0
432,木夭丑友什62ab31bb,0.892,105.0,254.0,64.0,3.0,1,1,1
433,木夭丑友什62ab32aa,0.892,122.0,529.0,152.0,7.0,1,1,1
434,木夭丑友什62ab32ab,0.892,159.0,666.0,210.0,24.0,1,1,1
435,木夭丑友什62ab32ba,0.525,144.0,678.0,204.0,29.0,1,1,1
436,木夭丑友什62ab32bb,18.176,80.0,368.0,80.0,9.0,1,1,1
440,木夭丑友什62ab33bb,3.182,0.0,0.0,0.0,1.0,1,0,0
442,木夭丑友什62ab34ab,5.22,0.0,0.0,0.0,10.0,0,0,0
447,木夭丑友什62ab35ba,4.883,0.0,0.0,0.0,14.0,1,0,0
448,木夭丑友什62ab35bb,4.883,0.0,0.0,0.0,1.0,0,0,0
450,木夭丑友什62ab36ab,6.677,0.0,0.0,0.0,3.0,1,0,0
452,木夭丑友什62ab36bb,4.133,0.0,0.0,0.0,6.0,0,0,0
453,木夭丑友什62ab37aa,4.248,19.0,31.0,0.0,18.0,0,0,0
460,木夭丑友什62ba28ab,5.45,0.0,0.0,0.0,4.0,0,0,0
468,木夭丑友什62ba30ab,2.949,0.0,0.0,0.0,1.0,1,0,0
469,木夭丑友什62ba30ba,3.055,14.0,17.0,0.0,11.0,1,0,0
470,木夭丑友什62ba30bb,3.055,0.0,11.0,0.0,12.0,1,0,0
471,木夭丑友什62ba31aa,3.055,10.0,15.0,0.0,9.0,1,0,0
476,木夭丑友什62ba32ab,0.892,32.0,202.0,89.0,21.0,1,1,1
477,木夭丑友什62ba32ba,0.525,81.0,263.0,49.0,75.0,1,1,1
478,木夭丑友什62ba32bb,18.176,101.0,290.0,49.0,64.0,1,1,1
479,木夭丑友什62ba33aa,18.176,26.0,61.0,12.0,5.0,1,1,1
485,木夭丑友什62ba34ba,5.22,0.0,0.0,0.0,2.0,1,0,0
488,木夭丑友什62ba35ab,4.883,14.0,39.0,0.0,17.0,1,0,0
489,木夭丑友什62ba35ba,4.883,16.0,21.0,0.0,20.0,0,1,1
490,木夭丑友什62ba35bb,4.883,0.0,0.0,0.0,3.0,1,0,0
501,木夭丑友什62bb28aa,2.882,8.0,14.0,0.0,12.0,0,0,0
502,木夭丑友什62bb28ab,2.799,0.0,0.0,0.0,3.0,0,0,0
504,木夭丑友什62bb28bb,3.272,0.0,7.0,0.0,8.0,1,1,1
505,木夭丑友什62bb29aa,3.272,8.0,12.0,0.0,5.0,1,0,0
515,木夭丑友什62bb31ba,3.518,0.0,7.0,0.0,3.0,1,0,0
517,木夭丑友什62bb32aa,1.181,0.0,0.0,0.0,4.0,1,1,1
518,木夭丑友什62bb32ab,1.181,34.0,203.0,50.0,76.0,1,1,1
519,木夭丑友什62bb32ba,0.294,40.0,175.0,41.0,72.0,1,1,1
520,木夭丑友什62bb32bb,0.53,16.0,59.0,8.0,34.0,1,1,1
521,木夭丑友什62bb33aa,5.4,8.0,19.0,0.0,18.0,1,0,0
525,木夭丑友什62bb34aa,4.079,0.0,0.0,0.0,5.0,1,0,0
526,木夭丑友什62bb34ab,4.079,0.0,0.0,0.0,2.0,1,0,0
530,木夭丑友什62bb35ab,4.883,8.0,21.0,0.0,12.0,1,1,1
531,木夭丑友什62bb35ba,4.883,0.0,6.0,0.0,6.0,1,0,0
536,木夭丑友什62bb36bb,3.315,0.0,0.0,0.0,1.0,0,0,0
542,木夭丑友什63aa28aa,2.882,0.0,0.0,0.0,1.0,0,0,0
