gid,year,cctv,light,log_pa,ep,fp,yp,log_nb
木夭丑友什58ab30ba,-0.133333333,-0.5,-0.5,1.795010453,-0.316027088,-0.33122807,-0.323076923,-1.270062195
木夭丑友什58bb30ab,1.933333333,-0.5,-0.5,1.742830932,-0.343115124,-0.341052632,-0.323076923,-1.270062195
木夭丑友什59aa30aa,1,-0.5,-0.5,1.742830932,-0.343115124,-0.341052632,-0.323076923,-1.270062195
木夭丑友什59aa30ab,1.6,-0.5,-0.5,1.742830932,-0.343115124,-0.341052632,-0.323076923,-1.029431361
木夭丑友什59ab30aa,4.133333333,0,0,1.612459677,-0.343115124,-0.341052632,-0.323076923,-1.029431361
木夭丑友什59ab30ab,1.4,-0.5,-0.5,1.612459677,-0.343115124,-0.341052632,-0.323076923,-1.270062195
木夭丑友什59ba30aa,-1.533333333,-0.5,-0.5,1.521861857,-0.343115124,-0.341052632,-0.323076923,-0.115225509
木夭丑友什59ba30bb,-0.333333333,-0.5,-0.5,1.237094979,-0.180586907,-0.303157895,-0.323076923,-0.44733994
木夭丑友什59ba31ab,0.533333333,-0.5,-0.5,1.096209491,-0.343115124,-0.332631579,-0.323076923,-0.726272363
木夭丑友什59bb29bb,-0.6,-0.5,-0.5,1.555958605,-0.343115124,-0.341052632,-0.323076923,-0.858701067
木夭丑友什59bb30ba,-0.133333333,-0.5,-0.5,1.269366861,-0.30248307,-0.315789474,-0.276923077,-0.258347632
木夭丑友什59bb30bb,-0.4,-0.5,-0.5,1.065074296,-0.311512415,-0.33122807,-0.323076923,-0.858701067
木夭丑友什59bb31aa,-0.266666667,-0.5,-0.5,1.008551115,-0.343115124,-0.329824561,-0.323076923,-0.115225509
木夭丑友什59bb31ab,0.4,-0.5,-0.5,1.028980654,-0.343115124,-0.329824561,-0.323076923,-0.115225509
木夭丑友什59bb31ba,2.8,-0.5,-0.5,1.028980654,-0.343115124,-0.341052632,-0.323076923,-0.858701067
木夭丑友什59bb32bb,-0.133333333,-0.5,-0.5,0.697044332,-0.343115124,-0.341052632,-0.323076923,-0.858701067
木夭丑友什60aa29ba,-0.133333333,-0.5,-0.5,1.633551107,-0.343115124,-0.341052632,-0.323076923,-0.858701067
木夭丑友什60aa29bb,-0.4,-0.5,-0.5,1.521861857,-0.306997743,-0.33122807,-0.323076923,0.228878595
木夭丑友什60aa30aa,-0.466666667,-0.5,-0.5,1.521861857,-0.343115124,-0.341052632,-0.323076923,-0.44733994
木夭丑友什60aa30ab,-0.133333333,-0.5,-0.5,1.269366861,-0.343115124,-0.341052632,-0.323076923,-1.270062195
木夭丑友什60aa31bb,0,-0.5,-0.5,0.939005367,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什60aa32ba,-0.4,-0.5,-0.5,0.626307701,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什60aa32bb,1.066666667,0,0,0.697044332,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什60ab29ba,-0.2,-0.5,-0.5,1.381485381,-0.311512415,-0.322807018,-0.323076923,-0.258347632
