gid,cctv,light,log_pa,ep,fp,yp,nb
дь_58ab30ba,-0.5,-0.5,2.098017927,-0.316027088,-0.33122807,-0.323076923,1
дь_58bb30ab,-0.5,-0.5,2.050012731,-0.343115124,-0.341052632,-0.323076923,1
дь_59aa30aa,-0.5,-0.5,2.050012731,-0.343115124,-0.341052632,-0.323076923,1
дь_59aa30ab,-0.5,-0.5,2.050012731,-0.343115124,-0.341052632,-0.323076923,2
дь_59ab30aa,0,0,1.930071085,-0.343115124,-0.341052632,-0.323076923,3
дь_59ab30ab,-0.5,-0.5,1.930071085,-0.343115124,-0.341052632,-0.323076923,2
дь_59ba30aa,-0.5,-0.5,1.846721027,-0.343115124,-0.341052632,-0.323076923,0
дь_59ba30bb,-0.5,-0.5,1.5847353,-0.180586907,-0.303157895,-0.323076923,3
дь_59ba31ab,-0.5,-0.5,1.455120552,-0.343115124,-0.332631579,-0.323076923,5
дь_59bb29bb,-0.5,-0.5,1.878090059,-0.343115124,-0.341052632,-0.323076923,1
дь_59bb30ba,-0.5,-0.5,1.614425454,-0.30248307,-0.315789474,-0.276923077,8
дь_59bb30bb,-0.5,-0.5,1.426476151,-0.311512415,-0.33122807,-0.323076923,1
дь_59bb31aa,-0.5,-0.5,1.374474784,-0.343115124,-0.329824561,-0.323076923,2
дь_59bb31ab,-0.5,-0.5,1.393269975,-0.343115124,-0.329824561,-0.323076923,5
дь_59bb31ba,-0.5,-0.5,1.393269975,-0.343115124,-0.341052632,-0.323076923,4
дь_59bb32bb,-0.5,-0.5,1.087888325,-0.343115124,-0.341052632,-0.323076923,3
дь_60aa29ba,-0.5,-0.5,1.949475215,-0.343115124,-0.341052632,-0.323076923,4
дь_60aa29bb,-0.5,-0.5,1.846721027,-0.306997743,-0.33122807,-0.323076923,3
дь_60aa30aa,-0.5,-0.5,1.846721027,-0.343115124,-0.341052632,-0.323076923,1
дь_60aa30ab,-0.5,-0.5,1.614425454,-0.343115124,-0.341052632,-0.323076923,1
дь_60aa31bb,-0.5,-0.5,1.310492648,-0.343115124,-0.341052632,-0.323076923,1
дь_60aa32ba,-0.5,-0.5,1.022810575,-0.343115124,-0.341052632,-0.323076923,0
дь_60aa32bb,0,0,1.087888325,-0.343115124,-0.341052632,-0.323076923,1
