year,cctv,light,pa,ep,fp,yp,nb,label,gid
0,0,0,4.390601566,-0.316027088,-0.33122807,-0.323076923,-0.487804878,0,木夭丑友什58ab30ba
0,0,0,4.135977337,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什58bb30ab
0,0,0,4.135977337,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什59aa30aa
0,0,0,4.135977337,-0.343115124,-0.341052632,-0.323076923,-0.455284553,0,木夭丑友什59aa30ab
0,1,1,3.550741543,-0.343115124,-0.341052632,-0.323076923,-0.455284553,0,木夭丑友什59ab30aa
0,0,0,3.550741543,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什59ab30ab
1,0,0,3.183469422,-0.343115124,-0.341052632,-0.323076923,-0.097560976,0,木夭丑友什59ba30aa
1,0,0,2.209631728,-0.180586907,-0.303157895,-0.323076923,-0.292682927,0,木夭丑友什59ba30bb
0,0,0,1.814364273,-0.343115124,-0.332631579,-0.323076923,-0.390243902,0,木夭丑友什59ba31ab
1,0,0,3.318113648,-0.343115124,-0.341052632,-0.323076923,-0.422764228,0,木夭丑友什59bb29bb
0,0,0,2.307615397,-0.30248307,-0.315789474,-0.276923077,-0.195121951,0,木夭丑友什59bb30ba
1,0,0,1.733711048,-0.311512415,-0.33122807,-0.323076923,-0.422764228,0,木夭丑友什59bb30bb
1,0,0,1.593067822,-0.343115124,-0.329824561,-0.323076923,-0.097560976,0,木夭丑友什59bb31aa
0,0,0,1.64305949,-0.343115124,-0.329824561,-0.323076923,-0.097560976,0,木夭丑友什59bb31ab
0,0,0,1.64305949,-0.343115124,-0.341052632,-0.323076923,-0.422764228,0,木夭丑友什59bb31ba
0,0,0,0.936510582,-0.343115124,-0.341052632,-0.323076923,-0.422764228,0,木夭丑友什59bb32bb
0,0,0,3.640726546,-0.343115124,-0.341052632,-0.323076923,-0.422764228,0,木夭丑友什60aa29ba
1,0,0,3.183469422,-0.306997743,-0.33122807,-0.323076923,0.260162602,0,木夭丑友什60aa29bb
1,0,0,3.183469422,-0.343115124,-0.341052632,-0.323076923,-0.292682927,0,木夭丑友什60aa30aa
0,0,0,2.307615397,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什60aa30ab
0,0,0,1.429761706,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什60aa31bb
1,0,0,0.811864689,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什60aa32ba
0,1,1,0.936510582,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什60aa32bb
1,0,0,2.671554741,-0.311512415,-0.322807018,-0.323076923,-0.195121951,0,木夭丑友什60ab29ba
1,0,0,2.926845526,-0.343115124,-0.341052632,-0.323076923,-0.422764228,0,木夭丑友什60ab29bb
0,0,0,0.881186469,-0.343115124,-0.341052632,-0.323076923,-0.097560976,0,木夭丑友什60ab32bb
0,0,0,2.671554741,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什60ba29ab
1,0,0,2.666888852,-0.248306998,-0.263859649,-0.323076923,-0.097560976,0,木夭丑友什60ba32ba
0,0,0,0.387268789,-0.343115124,-0.328421053,-0.323076923,-0.455284553,0,木夭丑友什60ba32bb
0,1,1,2.474254291,-0.343115124,-0.341052632,-0.323076923,-0.422764228,0,木夭丑友什60bb29aa
1,1,1,2.126312281,-0.221218962,-0.248421053,-0.253846154,0.097560976,0,木夭丑友什60bb29ab
