gid,lon,lat,fp,yp,ep,nb,cctv_light,b20,label
木夭丑友什702379,127.163692,37.44024447,17.02938637,5.916079783,10.24695077,8.717797887,1,1,3
木夭丑友什698388,127.1591335,37.44834375,15,4.898979486,9.273618495,6.557438524,1,1,0
木夭丑友什668384,127.1252351,37.44463565,9.539392014,2.645751311,8,4.123105626,1,1,2
木夭丑友什673383,127.1308919,37.44375208,12.92284798,5.656854249,8.717797887,5.291502622,1,1,0
木夭丑友什608326,127.0577136,37.39212268,7.071067812,2.449489743,5.196152423,3,1,0,4
木夭丑友什706395,127.16815,37.45467901,7.745966692,3.16227766,5.099019514,2.828427125,0,1,1
木夭丑友什702380,127.163688,37.44114583,11.3137085,4.582575695,6.633249581,4.898979486,1,1,2
木夭丑友什677372,127.135462,37.43385118,8.774964387,3.741657387,6.708203932,3.31662479,0,1,1
木夭丑友什699372,127.1603293,37.43392525,12.60952021,4.123105626,8.544003745,6.244997998,1,1,2
木夭丑友什697385,127.1580153,37.44563641,11.18033989,3,8.774964387,6.480740698,1,1,2
木夭丑友什676325,127.1345375,37.39148369,7.745966692,2.449489743,5.196152423,2.645751311,1,0,1
木夭丑友什669383,127.12637,37.44373787,13.11487705,3.872983346,9.591663047,8.366600265,1,1,3
木夭丑友什700379,127.1614312,37.44023802,13.96424004,4.123105626,9.327379053,6.633249581,1,1,0
木夭丑友什686390,127.1455584,37.45010656,5.830951895,0,3.605551275,2.236067977,1,1,4
木夭丑友什695387,127.155746,37.44743257,16.03121954,5.477225575,11.44552314,3.464101615,1,1,0
木夭丑友什696399,127.1568271,37.45825214,17.32050808,5.477225575,10.86278049,6.633249581,1,1,5
木夭丑友什675368,127.1332189,37.43023875,16.97056275,4.242640687,11.83215957,6.32455532,1,1,5
木夭丑友什702376,127.1637041,37.43754039,15.5241747,6,10.29563014,9,1,1,3
木夭丑友什681317,127.1402204,37.38429008,8.426149773,3.605551275,4.898979486,2.645751311,1,0,1
木夭丑友什680375,127.13884,37.43656566,10.34408043,3.31662479,7.141428429,2.645751311,1,1,1
木夭丑友什704403,127.1658567,37.4618835,12.08304597,3.464101615,8,5.567764363,1,1,2
木夭丑友什684365,127.1434042,37.4275658,10.86278049,4,6.8556546,4,1,1,2
木夭丑友什674386,127.1320092,37.44645967,16.46207763,4.795831523,12.08304597,10.53565375,1,1,3
木夭丑友什678349,127.1366925,37.41312337,13.45362405,5.477225575,7.681145748,4.242640687,1,1,0
木夭丑友什706403,127.1681182,37.46188987,6.708203932,2.645751311,4.358898944,3.872983346,1,1,4
木夭丑友什688367,127.1479167,37.42938207,10.95445115,4.242640687,7.280109889,5.291502622,1,1,2
木夭丑友什689350,127.1491185,37.41406228,10.95445115,6,4.472135955,2,0,0,1
木夭丑友什669373,127.1264148,37.4347243,6.782329983,2.645751311,4.358898944,2.828427125,1,1,4
木夭丑友什687381,127.1467271,37.44199773,15.03329638,4.898979486,9.327379053,6.403124237,1,1,0
木夭丑友什694373,127.1546734,37.43481024,4.242640687,0,3.605551275,4.242640687,1,1,4
木夭丑友什678377,127.1365705,37.43836145,15.65247584,5.291502622,12.08304597,10.72380529,1,1,3
木夭丑友什697400,127.1579537,37.45915678,21.58703314,6.557438524,14.49137675,7.549834435,1,1,5
木夭丑友什676390,127.1342527,37.45007212,4.898979486,0,0,2.449489743,1,1,4
木夭丑友什678382,127.1365487,37.44286824,8.831760866,2.449489743,4.795831523,4.69041576,1,1,1
木夭丑友什624326,127.0757887,37.39218891,10.29563014,5.744562647,3.741657387,3.16227766,0,0,1
木夭丑友什683374,127.1422354,37.43567462,16.94107435,7.071067812,9.848857802,6.633249581,1,1,5
木夭丑友什701385,127.1625373,37.44564941,12.28820573,4.123105626,8.660254038,5.567764363,1,1,2
木夭丑友什685364,127.1445387,37.42666784,5,0,3.872983346,2.236067977,1,1,4
木夭丑友什682390,127.1410361,37.45009291,15.62049935,4.358898944,10.04987562,9.797958971,1,1,3
木夭丑友什684388,127.1433058,37.44829705,9.949874371,4.69041576,6.782329983,4.123105626,1,1,1
木夭丑友什680386,127.1387923,37.4464806,14.86606875,5.567764363,9.38083152,5.916079783,1,1,0
