경도,위도,ADDRESS,행정동코드,do,si,gu,dong,설치개수
127.1355768,37.44981405,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1362792,37.449666,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1306714,37.4420109,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1305404,37.44258663,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1407602,37.46305246,경기도 성남시 수정구 위례동,4113162500,경기도,성남시,수정구,위례동,1
127.1373861,37.44183476,경기도 성남시 수정구 신흥1동,4113151000,경기도,성남시,수정구,신흥1동,1
127.1282845,37.44221862,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1304103,37.44309027,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1301812,37.44335891,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1288324,37.44467357,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1282165,37.44515561,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1346725,37.44392346,경기도 성남시 수정구 태평3동,4113156000,경기도,성남시,수정구,태평3동,1
127.1351136,37.44290847,경기도 성남시 수정구 태평3동,4113156000,경기도,성남시,수정구,태평3동,1
127.134744,37.44359959,경기도 성남시 수정구 태평3동,4113156000,경기도,성남시,수정구,태평3동,1
127.1250557,37.44290665,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1250608,37.44246516,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1389924,37.44861349,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1351621,37.44557599,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1354396,37.44502837,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.135629,37.4462462,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1364929,37.44482881,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1262449,37.441708,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1405165,37.45074208,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1388391,37.44818887,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1388534,37.44792767,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1403123,37.44090992,경기도 성남시 수정구 신흥1동,4113151000,경기도,성남시,수정구,신흥1동,1
127.1408885,37.43894976,경기도 성남시 수정구 신흥1동,4113151000,경기도,성남시,수정구,신흥1동,1
127.125765,37.44508347,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1364468,37.44589174,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1366551,37.44546975,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1363243,37.44573766,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1259683,37.44412082,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1262485,37.44432113,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1294205,37.44854348,경기도 성남시 수정구 태평3동,4113156000,경기도,성남시,수정구,태평3동,1
127.133818,37.44746743,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1546548,37.44779827,경기도 성남시 수정구 단대동,4113159000,경기도,성남시,수정구,단대동,1
127.0790436,37.41934607,경기도 성남시 수정구 시흥동,4113165000,경기도,성남시,수정구,시흥동,1
127.0793418,37.41897895,경기도 성남시 수정구 시흥동,4113165000,경기도,성남시,수정구,시흥동,1
127.0800193,37.41808315,경기도 성남시 수정구 시흥동,4113165000,경기도,성남시,수정구,시흥동,1
127.0844902,37.40437645,경기도 성남시 수정구 시흥동,4113165000,경기도,성남시,수정구,시흥동,1
127.0851146,37.40503906,경기도 성남시 수정구 시흥동,4113165000,경기도,성남시,수정구,시흥동,1
127.1261561,37.43865271,경기도 성남시 수정구 수진2동,4113158000,경기도,성남시,수정구,수진2동,1
127.1327836,37.43621449,경기도 성남시 수정구 수진2동,4113158000,경기도,성남시,수정구,수진2동,1
127.1231771,37.44022558,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.126222,37.44465433,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1285358,37.44198619,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1289208,37.44191694,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.0989234,37.4498741,경기도 성남시 수정구 신촌동,4113163000,경기도,성남시,수정구,신촌동,1
127.130956,37.45357372,경기도 성남시 수정구 복정동,4113162000,경기도,성남시,수정구,복정동,1
127.1372754,37.45937778,경기도 성남시 수정구 복정동,4113162000,경기도,성남시,수정구,복정동,1
127.0734318,37.40256939,경기도 성남시 수정구 시흥동,4113165000,경기도,성남시,수정구,시흥동,1
127.0809672,37.4172435,경기도 성남시 수정구 시흥동,4113165000,경기도,성남시,수정구,시흥동,1
127.0809672,37.4172435,경기도 성남시 수정구 시흥동,4113165000,경기도,성남시,수정구,시흥동,1
127.0809672,37.4172435,경기도 성남시 수정구 시흥동,4113165000,경기도,성남시,수정구,시흥동,1
127.1395352,37.45056375,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1369059,37.45021121,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1287201,37.4387527,경기도 성남시 수정구 수진2동,4113158000,경기도,성남시,수정구,수진2동,1
127.1412455,37.44826042,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1406515,37.44980595,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1522855,37.45344906,경기도 성남시 수정구 산성동,4113160000,경기도,성남시,수정구,산성동,1
127.1359552,37.46016109,경기도 성남시 수정구 복정동,4113162000,경기도,성남시,수정구,복정동,1
127.0759027,37.40739141,경기도 성남시 수정구 시흥동,4113165000,경기도,성남시,수정구,시흥동,1
127.1368023,37.4612035,경기도 성남시 수정구 복정동,4113162000,경기도,성남시,수정구,복정동,1
127.1253959,37.44183689,경기도 성남시 수정구 태평1동,4113154000,경기도,성남시,수정구,태평1동,1
127.1374188,37.44391647,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.136993,37.44359799,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1346882,37.44649162,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1364047,37.4426656,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1351604,37.44670232,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1373917,37.44332156,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1220354,37.41408602,경기도 성남시 분당구 야탑1동,4113562000,경기도,성남시,분당구,야탑1동,1
127.1362909,37.44371902,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1359664,37.4444285,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.136483,37.44372042,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1362655,37.44297996,경기도 성남시 수정구 태평2동,4113155000,경기도,성남시,수정구,태평2동,1
127.1402052,37.45028929,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1404719,37.44969652,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1401227,37.44959486,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1398527,37.45047595,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1402921,37.44861393,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1395444,37.44877069,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1047407,37.45489214,경기도 성남시 수정구 신촌동,4113163000,경기도,성남시,수정구,신촌동,1
127.1055306,37.45500624,경기도 성남시 수정구 신촌동,4113163000,경기도,성남시,수정구,신촌동,1
127.1060169,37.45498288,경기도 성남시 수정구 신촌동,4113163000,경기도,성남시,수정구,신촌동,1
127.1414887,37.44973093,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
127.1413576,37.45032468,경기도 성남시 수정구 태평4동,4113156100,경기도,성남시,수정구,태평4동,1
