gid,pa,ep,fp,yp,cctv,light,pop,nb
¤ì‚¬58aa30ab,8.15,,,,0,0,,0
¤ì‚¬58aa30ba,8.15,,,,0,0,,0
¤ì‚¬58aa30bb,4.124,,,,0,0,,0
¤ì‚¬58aa31aa,8.942,,,,0,0,,0
¤ì‚¬58ab30ab,8.15,,,,0,0,,0
¤ì‚¬58ab30ba,8.15,6,7,0,0,3,15,1
¤ì‚¬58ab30bb,8.748,,,,0,0,,0
¤ì‚¬58ab31aa,8.942,,,,0,0,,0
¤ì‚¬58ab31ab,8.942,,,,0,0,,0
¤ì‚¬58ba30ab,7.768,,,,0,0,,0
¤ì‚¬58ba30ba,8.15,,,,0,0,,0
¤ì‚¬58ba30bb,8.522,,,,0,0,,0
¤ì‚¬58ba31aa,8.942,,,,0,0,,0
¤ì‚¬58ba31ab,8.942,,,,0,0,,0
¤ì‚¬58ba31ba,8.942,,,,0,0,,0
¤ì‚¬58ba31bb,5.178,,,,0,0,,0
¤ì‚¬58bb30aa,7.768,,,,0,0,,0
¤ì‚¬58bb30ab,7.768,0,0,,0,10,8,1
¤ì‚¬58bb30ba,8.522,,,,0,0,,0
¤ì‚¬58bb30bb,8.7,,,,0,0,,0
¤ì‚¬58bb31aa,8.7,,,,0,0,,0
¤ì‚¬58bb31ab,5.379,,,,0,0,,0
¤ì‚¬58bb31ba,5.129,,,,0,0,,0
¤ì‚¬58bb31bb,5.129,,,,0,0,,0
¤ì‚¬58bb32aa,4.61,,,,0,0,,0
¤ì‚¬58bb32ab,4.341,,,,0,0,,0
¤ì‚¬59aa30aa,7.768,0,0,,0,5,6,1
¤ì‚¬59aa30ab,7.768,0,0,,0,4,7,2
¤ì‚¬59aa30ba,4.878,,,,0,0,,0
¤ì‚¬59aa30bb,4.878,,,,0,0,,0
¤ì‚¬59aa31aa,4.878,,,,0,0,,0
¤ì‚¬59aa31ab,4.285,,,,0,0,,0
¤ì‚¬59aa31ba,4.285,,,,0,0,,0
¤ì‚¬59aa31bb,4.285,,,,0,0,,0
¤ì‚¬59aa32aa,4.061,,,,0,0,,0
¤ì‚¬59aa32ab,4.223,,,,0,0,,0
¤ì‚¬59aa32ba,4.223,,,,0,0,,0
¤ì‚¬59aa32bb,4.223,,,,0,0,,0
¤ì‚¬59aa33aa,9.943,,,,0,0,,0
¤ì‚¬59aa33ab,7.675,,,,0,0,,0
¤ì‚¬59aa33ba,7.675,,,,0,0,,0
¤ì‚¬59aa33bb,7.675,,,,0,0,,0
¤ì‚¬59ab30aa,6.89,0,0,,1,2,6,3
¤ì‚¬59ab30ab,6.89,0,0,,0,0,0,2
¤ì‚¬59ab30ba,4.878,,,,0,0,,0
¤ì‚¬59ab30bb,4.878,,,,0,0,,0
¤ì‚¬59ab31aa,4.878,,,,0,0,,0
¤ì‚¬59ab31ab,4.285,,,,0,0,,0
¤ì‚¬59ab31ba,4.285,,,,0,0,,0
¤ì‚¬59ab31bb,4.285,,,,0,0,,0
