설치개수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
1,경기도 성남시 수정구 태평로74번길 3-14,경기도 성남시 수정구 태평동 406번지,37.44981405,127.1355768,2018.8.16
1,경기도 성남시 수정구 시민로257번길 29-2,경기도 성남시 수정구 태평동 473번지,37.449666,127.1362792,2018.8.16
1,경기도 성남시 수정구 수정북로11번길 5-2,경기도 성남시 수정구 태평동 6351번지,37.4420109,127.1306714,2018.8.16
1,경기도 성남시 수정구 수정북로11번길 14,경기도 성남시 수정구 태평동 6368번지,37.44258663,127.1305404,2018.8.16
1,경기도 성남시 수정구 복정동 69-2,경기도 성남시 수정구 복정동 69-2번지,37.46305246,127.1407602,2018.8.16
1,경기도 성남시 수정구 수정로154번길 8,경기도 성남시 수정구 신흥동 5544-1번지,37.44183476,127.1373861,2018.8.16
1,경기도 성남시 수정구 성남대로1258번길 8-4,경기도 성남시 수정구 태평동 6148-1번지,37.44221862,127.1282845,2018.8.16
1,경기도 성남시 수정구 남문로24번길 20-2,경기도 성남시 수정구 태평동 5615번지,37.44309027,127.1304103,2018.8.16
1,경기도 성남시 수정구 남문로22번길 17,경기도 성남시 수정구 태평동 5661번지,37.44335891,127.1301812,2018.8.16
1,경기도 성남시 수정구 남문로15번길 4,경기도 성남시 수정구 태평동 5439번지,37.44467357,127.1288324,2018.8.16
1,경기도 성남시 수정구 남문로13번길 9,경기도 성남시 수정구 태평동 5388번지,37.44515561,127.1282165,2018.8.16
1,경기도 성남시 수정구 탄리로95번길 7-6,경기도 성남시 수정구 태평동 3562번지,37.44392346,127.1346725,2018.8.16
1,경기도 성남시 수정구 태평동 3524,경기도 성남시 수정구 태평동 3524번지,37.44290847,127.1351136,2018.8.16
1,경기도 성남시 수정구 탄리로85번길 8,경기도 성남시 수정구 태평동 3559-1번지,37.44359959,127.134744,2018.8.16
1,경기도 성남시 수정구 모란로115번길 9,경기도 성남시 수정구 태평동 7164-8번지 가원맨션,37.44290665,127.1250557,2018.8.16
1,경기도 성남시 수정구 성남대로1263번길 18,경기도 성남시 수정구 태평동 7174번지 동양빌라,37.44246516,127.1250608,2018.8.16
1,경기도 성남시 수정구 남문로115번길 12-1,경기도 성남시 수정구 태평동 2563번지,37.44861349,127.1389924,2018.8.16
