소재지지번주소,위도,경도,설치개수,구,동,세부주소
경기도 성남시 수정구 태평동 406번지,37.44981405,127.1355768,1,수정구,태평동,406번지
경기도 성남시 수정구 태평동 473번지,37.449666,127.1362792,1,수정구,태평동,473번지
경기도 성남시 수정구 태평동 6351번지,37.4420109,127.1306714,1,수정구,태평동,6351번지
경기도 성남시 수정구 태평동 6368번지,37.44258663,127.1305404,1,수정구,태평동,6368번지
경기도 성남시 수정구 복정동 69-2번지,37.46305246,127.1407602,1,수정구,복정동,69-2번지
경기도 성남시 수정구 신흥동 5544-1번지,37.44183476,127.1373861,1,수정구,신흥동,5544-1번지
경기도 성남시 수정구 태평동 6148-1번지,37.44221862,127.1282845,1,수정구,태평동,6148-1번지
경기도 성남시 수정구 태평동 5615번지,37.44309027,127.1304103,1,수정구,태평동,5615번지
경기도 성남시 수정구 태평동 5661번지,37.44335891,127.1301812,1,수정구,태평동,5661번지
경기도 성남시 수정구 태평동 5439번지,37.44467357,127.1288324,1,수정구,태평동,5439번지
경기도 성남시 수정구 태평동 5388번지,37.44515561,127.1282165,1,수정구,태평동,5388번지
경기도 성남시 수정구 태평동 3562번지,37.44392346,127.1346725,1,수정구,태평동,3562번지
경기도 성남시 수정구 태평동 3524번지,37.44290847,127.1351136,1,수정구,태평동,3524번지
경기도 성남시 수정구 태평동 3559-1번지,37.44359959,127.134744,1,수정구,태평동,3559-1번지
경기도 성남시 수정구 태평동 7164-8번지 가원맨션,37.44290665,127.1250557,1,수정구,태평동,7164-8번지 가원맨션
경기도 성남시 수정구 태평동 7174번지 동양빌라,37.44246516,127.1250608,1,수정구,태평동,7174번지 동양빌라
경기도 성남시 수정구 태평동 2563번지,37.44861349,127.1389924,1,수정구,태평동,2563번지
경기도 성남시 수정구 태평동 3185-1번지 현대빌라,37.44557599,127.1351621,1,수정구,태평동,3185-1번지 현대빌라
경기도 성남시 수정구 태평동 3195-2번지,37.44502837,127.1354396,1,수정구,태평동,3195-2번지
경기도 성남시 수정구 태평동 3249-1번지,37.4462462,127.135629,1,수정구,태평동,3249-1번지
경기도 성남시 수정구 태평동 3229번지,37.44482881,127.1364929,1,수정구,태평동,3229번지
경기도 성남시 수정구 태평동 6817-2번지,37.441708,127.1262449,1,수정구,태평동,6817-2번지
경기도 성남시 수정구 태평동 1844번지,37.45074208,127.1405165,1,수정구,태평동,1844번지
경기도 성남시 수정구 태평동 2615번지,37.44818887,127.1388391,1,수정구,태평동,2615번지
경기도 성남시 수정구 태평동 2638번지,37.44792767,127.1388534,1,수정구,태평동,2638번지
경기도 성남시 수정구 신흥동 4900번지,37.44090992,127.1403123,1,수정구,신흥동,4900번지
경기도 성남시 수정구 신흥동 6926번지,37.43894976,127.1408885,1,수정구,신흥동,6926번지
경기도 성남시 수정구 태평동 7115-37번지,37.44508347,127.125765,1,수정구,태평동,7115-37번지
경기도 성남시 수정구 태평동 3254-6번지 범영빌라,37.44589174,127.1364468,1,수정구,태평동,3254-6번지 범영빌라
경기도 성남시 수정구 태평동 3261-1번지,37.44546975,127.1366551,1,수정구,태평동,3261-1번지
경기도 성남시 수정구 태평동 3258번지 장미맨션,37.44573766,127.1363243,1,수정구,태평동,3258번지 장미맨션
경기도 성남시 수정구 태평동 6661번지,37.44412082,127.1259683,1,수정구,태평동,6661번지
경기도 성남시 수정구 태평동 6645번지,37.44432113,127.1262485,1,수정구,태평동,6645번지
경기도 성남시 수정구 태평동 5090-1번지,37.44854348,127.1294205,1,수정구,태평동,5090-1번지
경기도 성남시 수정구 태평동 691번지,37.44746743,127.133818,1,수정구,태평동,691번지
경기도 성남시 수정구 단대동 185-20번지,37.44779827,127.1546548,1,수정구,단대동,185-20번지
경기도 성남시 수정구 금토동 64번지,37.41934607,127.0790436,1,수정구,금토동,64번지
경기도 성남시 수정구 금토동 63번지,37.41897895,127.0793418,1,수정구,금토동,63번지
경기도 성남시 수정구 금토동 91번지,37.41808315,127.0800193,1,수정구,금토동,91번지
경기도 성남시 수정구 금토동 391-2번지,37.40437645,127.0844902,1,수정구,금토동,391-2번지
