gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등
ㅼ궗702379,127.163692,37.44024447,532,290,242,35,19,16,105,59,46,76,2,68,1987.92,0,17
ㅼ궗642322,127.0961426,37.38865466,246,127,119,49,20,29,20,14,6,2,2,,2009,0,0
ㅼ궗698388,127.1591335,37.44834375,432,225,207,24,9,15,86,50,36,43,8,24,1994.88,0,9
ㅼ궗680389,127.1387793,37.44918467,469,240,229,28,16,12,111,63,48,100,,95,1988.88,1,12
ㅼ궗668384,127.1252351,37.44463565,209,91,118,7,0,0,64,34,30,17,3,14,1989.24,1,6
ㅼ궗659324,127.1153374,37.39052141,294,155,139,41,23,18,50,26,24,2,2,,2011,0,0
ㅼ궗645273,127.0997662,37.3444993,71,31,40,0,,0,13,8,0,6,2,1,2001.33,1,0
ㅼ궗686344,127.1457538,37.40864399,215,109,106,15,0,10,57,32,25,4,4,,1994,0,0
ㅼ궗677355,127.1355362,37.41852806,358,186,172,56,28,28,46,24,22,4,3,,2014.25,0,0
ㅼ궗708383,127.1704588,37.44386902,894,440,454,77,39,38,184,95,89,4,4,,1993,0,0
ㅼ궗624328,127.0757785,37.39399162,143,74,69,18,7,11,24,11,13,2,2,,2009.5,2,0
ㅼ궗664341,127.1209086,37.40586281,397,218,179,36,21,15,89,48,41,2,2,,1992,0,0
ㅼ궗678304,127.1368882,37.37256195,889,444,445,116,58,58,112,65,47,3,3,,1994,0,0
ㅼ궗610308,127.0600678,37.37590667,0,0,0,,,,0,0,0,1,,1,1945,0,2
ㅼ궗660322,127.1164762,37.38872236,194,106,88,22,14,8,46,25,21,2,2,,2011,1,0
ㅼ궗655363,127.1106368,37.42565966,0,,0,,,,0,,0,,,,,0,0
ㅼ궗673383,127.1308919,37.44375208,326,167,159,32,15,17,76,48,28,28,6,18,1994.11,0,4
ㅼ궗692414,127.1522417,37.47175926,1211,597,614,240,113,127,109,49,60,6,6,,2016,0,0
ㅼ궗697393,127.1579824,37.45284728,80,44,36,9,0,0,11,9,0,3,1,,2010,2,2
ㅼ궗659310,127.1154018,37.37790232,0,,0,,,,,,,1,,,1995,2,0
ㅼ궗663262,127.1201379,37.33465122,340,192,148,48,27,21,44,28,16,2,2,,1995,0,0
ㅼ궗675417,127.1330032,37.47440517,388,191,197,21,9,12,59,30,29,1,1,,2017,0,0
ㅼ궗654274,127.1099224,37.34543461,55,31,24,0,0,0,29,16,13,5,2,,1996.8,0,0
ㅼ궗658345,127.1141106,37.40944632,22,6,16,,,,0,0,0,8,,2,1999.5,0,2
ㅼ궗690294,127.1504829,37.36358909,0,,0,,,,,,,1,,,1993,0,0
