gid,nb
дь_58aa30ab,0
дь_58aa30ba,0
дь_58aa30bb,0
дь_58aa31aa,0
дь_58ab30ab,0
дь_58ab30ba,1
дь_58ab30bb,0
дь_58ab31aa,0
дь_58ab31ab,0
дь_58ba30ab,0
дь_58ba30ba,0
дь_58ba30bb,0
дь_58ba31aa,0
дь_58ba31ab,0
дь_58ba31ba,0
дь_58ba31bb,0
дь_58bb30aa,0
дь_58bb30ab,1
дь_58bb30ba,0
дь_58bb30bb,0
дь_58bb31aa,0
дь_58bb31ab,0
дь_58bb31ba,0
дь_58bb31bb,0
дь_58bb32aa,0
дь_58bb32ab,0
дь_59aa30aa,1
дь_59aa30ab,2
дь_59aa30ba,0
дь_59aa30bb,0
дь_59aa31aa,0
дь_59aa31ab,0
дь_59aa31ba,0
дь_59aa31bb,0
дь_59aa32aa,0
дь_59aa32ab,0
дь_59aa32ba,0
дь_59aa32bb,0
дь_59aa33aa,0
дь_59aa33ab,0
дь_59aa33ba,0
дь_59aa33bb,0
дь_59ab30aa,3
дь_59ab30ab,2
дь_59ab30ba,0
дь_59ab30bb,0
дь_59ab31aa,0
дь_59ab31ab,0
дь_59ab31ba,0
дь_59ab31bb,0
дь_59ab32aa,0
дь_59ab32ab,0
дь_59ab32ba,0
дь_59ab32bb,0
дь_59ab33aa,0
дь_59ab33ab,0
дь_59ab33ba,0
дь_59ab33bb,0
дь_59ab34ab,0
дь_59ab35aa,0
дь_59ab35ab,0
дь_59ab35ba,0
дь_59ab35bb,0
дь_59ab36aa,0
дь_59ab36ab,0
дь_59ab36ba,0
дь_59ba30aa,0
дь_59ba30ab,0
дь_59ba30ba,0
дь_59ba30bb,3
дь_59ba31aa,0
дь_59ba31ab,5
дь_59ba31ba,0
дь_59ba31bb,0
дь_59ba32aa,0
дь_59ba32ab,0
дь_59ba32ba,0
дь_59ba32bb,0
дь_59ba33aa,0
дь_59ba33ab,0
дь_59ba33ba,0
дь_59ba33bb,0
дь_59ba34aa,0
дь_59ba34ab,0
дь_59ba34ba,0
дь_59ba35aa,0
дь_59ba35ab,0
дь_59ba35ba,0
дь_59ba35bb,0
дь_59ba36aa,0
дь_59ba36ab,0
дь_59ba36ba,0
дь_59ba36bb,0
дь_59bb29bb,1
дь_59bb30aa,0
дь_59bb30ab,0
дь_59bb30ba,8
дь_59bb30bb,1
дь_59bb31aa,2
дь_59bb31ab,5
дь_59bb31ba,4
дь_59bb31bb,0
дь_59bb32aa,0
дь_59bb32ab,0
дь_59bb32ba,0
дь_59bb32bb,3
дь_59bb33aa,0
дь_59bb33ab,0
дь_59bb33ba,0
дь_59bb33bb,0
дь_59bb34aa,0
дь_59bb34ab,0
дь_59bb34ba,0
дь_59bb34bb,0
дь_59bb35aa,0
дь_59bb35ab,0
дь_59bb35ba,0
дь_59bb35bb,0
дь_59bb36aa,0
дь_59bb36ab,0
дь_59bb36ba,0
дь_59bb36bb,0
дь_60aa29ba,4
дь_60aa29bb,3
дь_60aa30aa,1
дь_60aa30ab,1
дь_60aa30ba,0
дь_60aa30bb,0
дь_60aa31aa,0
дь_60aa31ab,0
дь_60aa31ba,0
дь_60aa31bb,1
дь_60aa32aa,0
дь_60aa32ab,0
дь_60aa32ba,0
дь_60aa32bb,1
дь_60aa33aa,0
дь_60aa33ab,0
дь_60aa33ba,0
дь_60aa33bb,0
дь_60aa34aa,0
дь_60aa34ab,0
дь_60aa34ba,0
дь_60aa34bb,0
дь_60aa35aa,0
дь_60aa35ab,0
дь_60aa35ba,0
дь_60aa35bb,0
дь_60aa36aa,0
дь_60aa36ab,0
дь_60aa36ba,0
дь_60aa36bb,0
дь_60ab29aa,0
дь_60ab29ab,0
дь_60ab29ba,9
дь_60ab29bb,1
дь_60ab30aa,0
дь_60ab30ab,0
дь_60ab30ba,0
дь_60ab30bb,0
дь_60ab31aa,0
дь_60ab31ab,0
дь_60ab31ba,0
дь_60ab31bb,0
дь_60ab32aa,0
дь_60ab32ab,0
дь_60ab32ba,0
дь_60ab32bb,7
дь_60ab33aa,0
дь_60ab33ab,0
дь_60ab33ba,0
дь_60ab33bb,0
дь_60ab34aa,0
дь_60ab34ab,0
дь_60ab34ba,0
дь_60ab34bb,0
дь_60ab35aa,0
дь_60ab35ab,0
дь_60ab35ba,0
дь_60ab35bb,0
дь_60ab36aa,0
дь_60ab36ab,0
дь_60ab36ba,0
дь_60ab36bb,0
дь_60ba29aa,0
дь_60ba29ab,1
дь_60ba29ba,0
дь_60ba29bb,0
дь_60ba30aa,0
дь_60ba30ab,0
дь_60ba30ba,0
дь_60ba30bb,0
дь_60ba31aa,0
дь_60ba31ab,0
дь_60ba31ba,0
дь_60ba31bb,0
дь_60ba32aa,0
дь_60ba32ab,0
дь_60ba32ba,3
дь_60ba32bb,2
дь_60ba33aa,0
дь_60ba33ab,0
дь_60ba33ba,0
дь_60ba33bb,0
дь_60ba34aa,0
дь_60ba34ab,0
дь_60ba34ba,0
дь_60ba34bb,0
дь_60ba35aa,0
дь_60ba35ab,0
дь_60ba35ba,0
дь_60ba35bb,0
дь_60ba36aa,0
дь_60ba36ab,0
дь_60ba36ba,0
дь_60ba36bb,0
дь_60bb29aa,2
дь_60bb29ab,5
дь_60bb29ba,0
дь_60bb29bb,0
дь_60bb30aa,0
дь_60bb30ab,0
дь_60bb30ba,0
дь_60bb30bb,1
дь_60bb31aa,0
дь_60bb31ab,0
дь_60bb31ba,0
дь_60bb31bb,0
дь_60bb32aa,0
дь_60bb32ab,1
дь_60bb32ba,8
дь_60bb32bb,0
дь_60bb33aa,0
дь_60bb33ab,0
дь_60bb33ba,0
дь_60bb33bb,0
дь_60bb34aa,0
дь_60bb34ab,0
дь_60bb34ba,0
дь_60bb34bb,0
дь_60bb35aa,0
дь_60bb35ab,0
дь_60bb35ba,0
дь_60bb35bb,0
дь_60bb36aa,0
дь_60bb36ab,0
дь_60bb36ba,0
дь_60bb36bb,0
дь_61aa29aa,3
дь_61aa29ab,4
дь_61aa29ba,0
дь_61aa29bb,0
дь_61aa30aa,0
дь_61aa30ab,0
дь_61aa30ba,0
дь_61aa30bb,3
дь_61aa31aa,1
дь_61aa31ab,0
дь_61aa31ba,0
дь_61aa31bb,0
дь_61aa32aa,0
дь_61aa32ab,1
дь_61aa32ba,3
дь_61aa32bb,0
дь_61aa33aa,0
дь_61aa33ab,0
дь_61aa33ba,0
дь_61aa33bb,0
дь_61aa34aa,0
дь_61aa34ab,0
дь_61aa34ba,0
дь_61aa34bb,0
дь_61aa35aa,0
дь_61aa35ab,0
дь_61aa35ba,0
дь_61aa35bb,0
дь_61aa36aa,0
дь_61aa36ab,0
дь_61aa36ba,0
дь_61aa36bb,0
дь_61ab29aa,0
дь_61ab29ab,0
дь_61ab29ba,0
дь_61ab29bb,0
дь_61ab30aa,0
дь_61ab30ab,0
дь_61ab30ba,0
дь_61ab30bb,0
дь_61ab31aa,0
дь_61ab31ab,0
дь_61ab31ba,0
дь_61ab31bb,0
дь_61ab32aa,0
дь_61ab32ab,0
дь_61ab32ba,0
дь_61ab32bb,0
дь_61ab33aa,0
дь_61ab33ab,0
дь_61ab33ba,0
дь_61ab33bb,0
дь_61ab34aa,0
дь_61ab34ab,0
дь_61ab34ba,0
дь_61ab34bb,0
дь_61ab35aa,0
дь_61ab35ab,0
дь_61ab35ba,0
дь_61ab35bb,0
дь_61ab36aa,0
дь_61ab36ab,0
дь_61ab36ba,0
дь_61ab36bb,0
дь_61ba28bb,0
дь_61ba29aa,2
дь_61ba29ab,0
дь_61ba29ba,0
дь_61ba29bb,0
дь_61ba30aa,0
дь_61ba30ab,0
дь_61ba30ba,0
дь_61ba30bb,0
дь_61ba31aa,0
дь_61ba31ab,0
дь_61ba31ba,0
дь_61ba31bb,0
дь_61ba32aa,0
дь_61ba32ab,0
дь_61ba32ba,0
дь_61ba32bb,0
дь_61ba33aa,0
дь_61ba33ab,0
дь_61ba33ba,0
дь_61ba33bb,1
дь_61ba34aa,0
дь_61ba34ab,0
дь_61ba34ba,0
дь_61ba34bb,0
дь_61ba35aa,0
дь_61ba35ab,0
дь_61ba35ba,0
дь_61ba35bb,0
дь_61ba36aa,0
дь_61ba36ab,9
дь_61ba36ba,0
дь_61ba36bb,0
дь_61bb28bb,0
дь_61bb29aa,0
дь_61bb29ab,0
дь_61bb29ba,0
дь_61bb29bb,0
дь_61bb30aa,0
дь_61bb30ab,0
дь_61bb30ba,0
дь_61bb30bb,0
дь_61bb31aa,0
дь_61bb31ab,0
